OrgID,FisYear,CDFlag,overall_score,econ_score,envrn_score,lenvrnmntl,corpgov_score,social_score,feeddate,fyenddate,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
11238,2005,40000000000,0.92297478,0.79124445,0.78231969,,0.68471955,0.99171766,11/15/2020,12/31/2005,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2020,40000000000,0.98675593,0.9444413,,,0.98409329,0.97168052,11/15/2020,,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2011,40000000000,0.96038694,0.95186176,0.92786097,,0.94814833,0.90472814,11/15/2020,12/31/2011,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2018,40000000000,0.95904733,0.71737719,0.95397141,,0.97904649,0.94201434,11/15/2020,12/31/2018,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2006,40000000000,0.98109503,0.98459981,0.95641666,,0.94677709,0.98924282,11/15/2020,12/31/2006,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2002,40000000000,0.91686458,0.96883023,0.81705817,,0.42198059,0.96611775,11/8/2020,12/31/2002,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2019,40000000000,0.98613811,0.94786418,,,0.9670828,0.97104396,11/15/2020,,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2003,40000000000,0.93272796,0.91971368,0.73449668,,0.71620278,0.89894123,11/8/2020,12/31/2003,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2010,40000000000,0.96693544,0.97410446,0.93568947,,0.92130081,0.94899558,11/15/2020,12/31/2010,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2004,40000000000,0.85037648,0.8346955,0.4540478,,0.65799662,0.95605973,11/15/2020,12/31/2004,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2017,40000000000,0.9620783,0.94100644,0.94135733,,0.97898351,0.94817003,11/15/2020,12/31/2017,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPQ,F1058Q23,B01DCX,FR0000131104
11238,2016,40000000000,0.96561515,0.96735914,0.93552296,,0.97998239,0.96224167,11/15/2020,12/31/2016,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2014,40000000000,0.9357135,0.65333072,0.92334064,,0.95157409,0.95236725,11/15/2020,12/31/2014,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2013,40000000000,0.96857265,0.97572037,0.91907951,,0.93601554,0.96659194,11/15/2020,12/31/2013,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
